Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2023/12/TA77/DTA_2010719_20231221.xml,Tribunal administratif,2010719,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2010719_20231221.xml
../data/raw/DTA/2023/12/TA13/DTA_2100435_20231201.xml,Tribunal administratif,2100435,40%,Plein Contentieux,Personne morale,Rejet,13,Tribunal Administratif de Marseille,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA13/DTA_2100435_20231201.xml
../data/raw/DTA/2023/12/TA78/DTA_2108776_20231228.xml,Tribunal administratif,2108776,100%,Plein Contentieux,Personne physique,Rejet,78,Tribunal Administratif de VERSAILLES,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA78/DTA_2108776_20231228.xml
../data/raw/DTA/2023/12/TA78/DTA_2108791_20231228.xml,Tribunal administratif,2108791,100%,Plein Contentieux,Personne physique,Rejet,78,Tribunal Administratif de VERSAILLES,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA78/DTA_2108791_20231228.xml
../data/raw/DTA/2023/12/TA78/DTA_2107515_20231207.xml,Tribunal administratif,2107515,80%,Plein Contentieux,Personne physique,Rejet,78,Tribunal Administratif de VERSAILLES,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA78/DTA_2107515_20231207.xml
../data/raw/DTA/2023/12/TA35/DTA_2100796_20231206.xml,Tribunal administratif,2100796,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,35,Tribunal Administratif de Rennes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA35/DTA_2100796_20231206.xml
../data/raw/DTA/2023/12/TA35/DTA_2105932_20231220.xml,Tribunal administratif,2105932,40%,Plein Contentieux,Personne morale,Rejet,35,Tribunal Administratif de Rennes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA35/DTA_2105932_20231220.xml
../data/raw/DTA/2023/12/TA102/DTA_2200450_20231228.xml,Tribunal administratif,2200450,80%,Plein Contentieux,Personne morale,Satisfaction Partielle,102,Tribunal Administratif de la Martinique,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA102/DTA_2200450_20231228.xml
../data/raw/DTA/2023/12/TA95/DTA_2013662_20231219.xml,Tribunal administratif,2013662,40%,Plein Contentieux,Personne morale,Rejet,95,Tribunal Administratif de Cergy-Pontoise,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA95/DTA_2013662_20231219.xml
../data/raw/DTA/2023/12/TA95/DTA_1906667_20231212.xml,Tribunal administratif,1906667,100%,Plein Contentieux,Personne morale,Rejet,95,Tribunal Administratif de Cergy-Pontoise,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA95/DTA_1906667_20231212.xml
